Industry,Deal_value,Weighted_amount,Date_of_creation,Pitch,Lead_revenue,Fund_category,Geography,Location,POC_name,Designation,Hiring_candidate_role,Lead_source,Level_of_meeting,Last_lead_update,Internal_POC,Resource,Internal_rating
Restaurants,320506.0,2067263.7,2020-03-29,Product_2,50 - 100 Million,Category 2,USA,"Killeen-Temple, TX",Charlene Werner,Executive Vice President,Community pharmacist,Website,Level 3,No track,"Davis,Sharrice A",No,3
Construction Services,39488.0,240876.8,2019-07-10,Product_2,500 Million - 1 Billion,Category 4,India,Ratlam,rakhi,Chairman/CEO/President,Recruitment consultant,Others,Level 1,Did not hear back after Level 1,"Brown,Maxine A",No,5
Hospitals/Clinics,359392.0,2407926.4,2019-07-27,Product_1,500 Million - 1 Billion,Category 4,USA,"Albany-Schenectady-Troy, NY",Ariel Hamilton,SVP/General Counsel ,Health service manager,Marketing Event,Level 1,?,"Georgakopoulos,Vasilios T",No,4
Real Estate,76774.0,468321.4,2021-01-30,Product_2,500 Million - 1 Billion,Category 3,USA,"Mount Vernon-Anacortes, WA",Erin Wilson,CEO/Co-Founder/Chairman,"Therapist, speech and language",Contact Email,Level 2,Did not hear back after Level 1,"Brown,Maxine A",We have all the requirements,1
Financial Services,483896.0,2809435.06290971,2019-05-22,Product_2,50 - 100 Million,Category 3,India,Shimoga,kavita,Executive Vice President,Media planner,Website,Level 2,Up-to-date,"Thomas,Lori E",No,4
Banks,418674.0,2637646.2,2019-06-30,Product_1,50 - 100 Million,Category 2,India,Bulandshahr,kamla devi,CEO/Co-Founder/Chairman,Microbiologist,Marketing Event,Level 3,2 days back,"Featherstone,Adrian R",Deliverable,3
Banks,384356.0,2709709.8,2019-11-20,Product_2,500 Million - 1 Billion,Category 1,USA,"Salisbury, MD-DE",Sara Dixon,CEO/Co-Founder/Chairman,Cartographer,Contact Email,Level 3,More than 2 weeks,"Booker,David L",No,4
Architecture/Engineering,245205.0,1642873.5,2020-12-22,Product_2,500 Million - 1 Billion,Category 1,USA,"Jacksonville, FL",Christian Stanley,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Engineer, maintenance (IT)",Others,Level 2,5 days back,"Cashin,Marc C",No,5
Education/Training,343280.0,1991024.0,2019-01-08,Product_1,100 - 500 Million,Category 3,USA,"Seattle-Tacoma-Bellevue, WA",Joseph Thompson,Chairman/Chief Innovation Officer,Product/process development scientist,Contact Email,Level 1,No track,"Van Arter,Derrick",We have all the requirements,2
REIT,293611.0,1791027.1,2020-07-04,Product_1,500 Million - 1 Billion,Category 3,USA,"Clarksville, TN-KY",William Grimes,CEO,Engineering geologist,Contact Email,Level 1,more than a month,"Hanyok,John J",Deliverable,4
Healthcare Facilities/Services,311125.0,1851193.75,2020-01-30,Product_1,500 Million - 1 Billion,Category 2,USA,"Oxnard-Thousand Oaks-Ventura, CA",Tamara Sanchez,CEO/Co-Founder/Chairman,Hydrogeologist,Website,Level 1,Following up but lead not responding,"Clavey,Therese A",Cannot deliver,2
Hotels/Motels,7819.0,45741.15,2019-07-22,Product_1,50 - 100 Million,Category 1,USA,"Lafayette, LA",Frank Jones,Chairman/CEO/President,"Scientist, audiological",Others,Level 2,Up-to-date,"Hameier,Kurt E",Not enough,1
Biotech/Healthcare,222331.0,1400685.3,2020-03-27,Product_2,100 - 500 Million,Category 2,USA,"Danville, IL",Frank Ali,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Speech and language therapist,Marketing Event,Level 1,Unknown,"Maine,John P",Cannot deliver,5
